"","Day","temp_type","temp"
"246",82,"Max",75
"247",83,"Mean",71
"248",83,"Min",67
"249",83,"Max",75
"250",84,"Mean",63
"251",84,"Min",55
"252",84,"Max",71
"253",85,"Mean",62
"254",85,"Min",52
"255",85,"Max",71
"256",86,"Mean",65
"257",86,"Min",58
"258",86,"Max",71
"259",87,"Mean",61
"260",87,"Min",57
"261",87,"Max",64
"262",88,"Mean",68
"263",88,"Min",58
"264",88,"Max",77
"265",89,"Mean",72
"266",89,"Min",60
"267",89,"Max",83
"268",90,"Mean",74
"269",90,"Min",64
"270",90,"Max",84
"271",91,"Mean",73
"272",91,"Min",67
"273",91,"Max",79
"274",92,"Mean",67
"275",92,"Min",62
"276",92,"Max",71
"277",93,"Mean",63
"278",93,"Min",61
"279",93,"Max",65
"280",94,"Mean",66
"281",94,"Min",61
"282",94,"Max",70
"283",95,"Mean",64
"284",95,"Min",56
"285",95,"Max",71
"286",96,"Mean",61
"287",96,"Min",52
"288",96,"Max",69
"289",97,"Mean",54
"290",97,"Min",46
"291",97,"Max",61
"292",98,"Mean",60
"293",98,"Min",50
"294",98,"Max",69
"295",99,"Mean",67
"296",99,"Min",63
"297",99,"Max",71
"298",100,"Mean",68
"299",100,"Min",62
"300",100,"Max",73
"301",101,"Mean",62
"302",101,"Min",55
"303",101,"Max",68
"304",102,"Mean",58
"305",102,"Min",52
"306",102,"Max",64
"307",103,"Mean",55
"308",103,"Min",50
"309",103,"Max",60
"310",104,"Mean",56
"311",104,"Min",48
"312",104,"Max",63
"313",105,"Mean",59
"314",105,"Min",52
"315",105,"Max",65
"316",106,"Mean",70
"317",106,"Min",63
"318",106,"Max",76
"319",107,"Mean",73
"320",107,"Min",69
"321",107,"Max",77
"322",108,"Mean",66
"323",108,"Min",61
"324",108,"Max",71
"325",109,"Mean",65
"326",109,"Min",59
"327",109,"Max",71
"328",110,"Mean",63
"329",110,"Min",56
"330",110,"Max",70
"331",111,"Mean",50
"332",111,"Min",44
"333",111,"Max",56
"334",112,"Mean",51
"335",112,"Min",42
"336",112,"Max",60
"337",113,"Mean",61
"338",113,"Min",55
"339",113,"Max",67
"340",114,"Mean",54
"341",114,"Min",50
"342",114,"Max",58
"343",115,"Mean",52
"344",115,"Min",50
"345",115,"Max",53
"346",116,"Mean",57
"347",116,"Min",51
"348",116,"Max",63
"349",117,"Mean",59
"350",117,"Min",50
"351",117,"Max",67
"352",118,"Mean",58
"353",118,"Min",53
"354",118,"Max",63
"355",119,"Mean",56
"356",119,"Min",48
"357",119,"Max",63
"358",120,"Mean",63
"359",120,"Min",53
"360",120,"Max",72
"361",121,"Mean",62
"362",121,"Min",51
"363",121,"Max",72
"364",122,"Mean",53
"365",122,"Min",47
"366",122,"Max",59
"367",123,"Mean",50
"368",123,"Min",45
"369",123,"Max",55
"370",124,"Mean",45
"371",124,"Min",42
"372",124,"Max",47
"373",125,"Mean",45
"374",125,"Min",41
"375",125,"Max",48
"376",126,"Mean",50
"377",126,"Min",39
"378",126,"Max",61
"379",127,"Mean",61
"380",127,"Min",53
"381",127,"Max",68
"382",128,"Mean",60
"383",128,"Min",56
"384",128,"Max",64
"385",129,"Mean",53
"386",129,"Min",48
"387",129,"Max",57
"388",130,"Mean",47
"389",130,"Min",40
"390",130,"Max",53
"391",131,"Mean",42
"392",131,"Min",36
"393",131,"Max",48
"394",132,"Mean",52
"395",132,"Min",46
"396",132,"Max",57
"397",133,"Mean",53
"398",133,"Min",44
"399",133,"Max",61
"400",134,"Mean",57
"401",134,"Min",49
"402",134,"Max",64
"403",135,"Mean",56
"404",135,"Min",47
"405",135,"Max",65
"406",136,"Mean",42
"407",136,"Min",36
"408",136,"Max",48
"409",137,"Mean",39
"410",137,"Min",35
"411",137,"Max",42
"412",138,"Mean",38
"413",138,"Min",33
"414",138,"Max",42
"415",139,"Mean",40
"416",139,"Min",35
"417",139,"Max",45
"418",140,"Mean",46
"419",140,"Min",40
"420",140,"Max",52
"421",141,"Mean",35
"422",141,"Min",24
"423",141,"Max",45
"424",142,"Mean",29
"425",142,"Min",22
"426",142,"Max",36
"427",143,"Mean",38
"428",143,"Min",31
"429",143,"Max",45
"430",144,"Mean",33
"431",144,"Min",28
"432",144,"Max",37
"433",145,"Mean",36
"434",145,"Min",28
"435",145,"Max",44
"436",146,"Mean",50
"437",146,"Min",43
"438",146,"Max",57
"439",147,"Mean",61
"440",147,"Min",53
"441",147,"Max",69
"442",148,"Mean",60
"443",148,"Min",51
"444",148,"Max",68
"445",149,"Mean",43
"446",149,"Min",34
"447",149,"Max",51
"448",150,"Mean",36
"449",150,"Min",34
"450",150,"Max",38
"451",151,"Mean",33
"452",151,"Min",29
"453",151,"Max",37
"454",152,"Mean",36
"455",152,"Min",27
"456",152,"Max",45
"457",153,"Mean",50
"458",153,"Min",45
"459",153,"Max",55
"460",154,"Mean",54
"461",154,"Min",42
"462",154,"Max",65
"463",155,"Mean",39
"464",155,"Min",35
"465",155,"Max",43
"466",156,"Mean",44
"467",156,"Min",41
"468",156,"Max",46
"469",157,"Mean",41
"470",157,"Min",37
"471",157,"Max",45
"472",158,"Mean",39
"473",158,"Min",34
"474",158,"Max",44
"475",159,"Mean",45
"476",159,"Min",39
"477",159,"Max",50
"478",160,"Mean",36
"479",160,"Min",30
"480",160,"Max",42
"481",161,"Mean",31
"482",161,"Min",24
"483",161,"Max",37
"484",162,"Mean",39
"485",162,"Min",36
"486",162,"Max",42
"487",163,"Mean",36
"488",163,"Min",32
"489",163,"Max",40
